,Non-401k Financial Assets,Net Financial Assets,Total Wealth,Age,Income,Family Size,Education,Has Defined Benefit Pension,Is Married,Is Two Earner Household,Eligible for 401K,Has 401K,Has IRA,Owns Home
0,0.0,0.0,4500.0,47.0,6765.0,2.0,8.0,N,N,N,N,N,N,Y
1,6215.0,1015.0,22390.0,36.0,28452.0,1.0,16.0,N,N,N,N,N,N,Y
2,0.0,-2000.0,-2000.0,37.0,3300.0,6.0,12.0,Y,N,N,N,N,N,N
3,15000.0,15000.0,155000.0,58.0,52590.0,2.0,16.0,N,Y,Y,N,N,N,Y
4,0.0,0.0,58000.0,32.0,21804.0,1.0,11.0,N,N,N,N,N,N,Y
5,13000.0,27800.0,66643.0,34.0,34680.0,1.0,16.0,N,N,N,N,N,Y,Y
6,2000.0,2913.0,31913.0,28.0,21600.0,3.0,12.0,N,Y,Y,N,N,Y,Y
7,0.0,-650.0,36850.0,54.0,4686.0,3.0,11.0,N,N,N,N,N,N,Y
8,25299.0,37279.0,111363.0,43.0,65820.0,2.0,14.0,Y,Y,Y,N,N,Y,Y
9,1900.0,1900.0,33900.0,32.0,37260.0,3.0,18.0,N,Y,N,N,N,N,Y
10,1283.0,783.0,58283.0,52.0,15306.0,3.0,12.0,N,Y,N,N,N,N,Y
11,1400.0,-10000.0,7000.0,30.0,58413.0,4.0,18.0,N,Y,Y,N,N,N,N
12,760.0,-740.0,19260.0,63.0,21630.0,2.0,15.0,N,N,N,N,N,N,Y
13,0.0,0.0,0.0,38.0,30600.0,1.0,18.0,N,Y,N,N,N,N,N
14,0.0,-4700.0,-3700.0,32.0,33414.0,4.0,13.0,N,Y,Y,N,N,N,N
15,0.0,-1000.0,-325.0,29.0,14580.0,3.0,12.0,N,N,N,N,N,N,N
16,1099.0,-16901.0,33299.0,40.0,57477.0,4.0,17.0,Y,Y,Y,N,N,N,Y
17,4200.0,2000.0,68000.0,30.0,46008.0,4.0,10.0,N,Y,N,N,N,N,Y
18,0.0,0.0,0.0,44.0,3825.0,1.0,12.0,N,N,N,N,N,N,N
19,300.0,0.0,0.0,57.0,5220.0,1.0,18.0,Y,N,N,N,N,N,N
20,0.0,-800.0,25950.0,42.0,9120.0,5.0,10.0,N,N,N,N,N,N,Y
21,40500.0,52900.0,160900.0,41.0,69693.0,4.0,16.0,N,Y,Y,N,N,Y,Y
22,1560.0,-9940.0,-3465.0,39.0,52110.0,1.0,16.0,Y,N,N,N,N,N,N
23,0.0,0.0,3000.0,53.0,30000.0,3.0,12.0,N,Y,N,N,N,N,Y
24,2000.0,2000.0,73000.0,64.0,26826.0,1.0,12.0,N,N,N,N,N,N,Y
25,0.0,0.0,0.0,37.0,10524.0,3.0,14.0,N,N,N,N,N,N,N
26,0.0,0.0,0.0,62.0,33228.0,2.0,12.0,N,Y,Y,N,N,N,N
27,2542.0,-2238.0,76075.0,55.0,60528.0,2.0,12.0,N,Y,N,N,N,N,Y
28,0.0,-2797.0,21203.0,39.0,13512.0,3.0,12.0,Y,Y,Y,N,N,N,Y
29,75664.0,97664.0,206589.0,58.0,44640.0,1.0,12.0,N,N,N,N,N,Y,Y
30,0.0,-500.0,14500.0,43.0,14280.0,4.0,4.0,N,Y,N,N,N,N,N
31,1300.0,-4700.0,-700.0,37.0,28134.0,3.0,13.0,N,Y,N,N,N,N,N
32,249.0,249.0,249.0,31.0,14931.0,1.0,16.0,N,N,N,N,N,N,Y
33,400.0,400.0,9400.0,25.0,26535.0,2.0,14.0,N,Y,N,N,N,N,N
34,1000.0,-3000.0,6000.0,39.0,48360.0,4.0,13.0,N,Y,Y,N,N,N,Y
35,8500.0,5000.0,37875.0,41.0,31635.0,2.0,13.0,N,N,N,N,N,N,Y
36,25104.0,24654.0,100904.0,52.0,40041.0,3.0,14.0,N,N,N,N,N,N,Y
37,0.0,-5000.0,-1075.0,43.0,22410.0,1.0,12.0,Y,N,N,N,N,N,N
38,700.0,700.0,700.0,37.0,27072.0,5.0,9.0,N,Y,Y,N,N,N,N
39,0.0,0.0,78550.0,47.0,21420.0,1.0,13.0,N,N,N,N,N,N,Y
40,5150.0,3550.0,21425.0,57.0,34410.0,3.0,15.0,N,Y,Y,N,N,N,Y
41,100.0,-3900.0,44100.0,36.0,23700.0,4.0,12.0,N,Y,Y,N,N,N,Y
42,100.0,-7350.0,-7350.0,30.0,19950.0,3.0,14.0,N,Y,N,N,N,N,N
43,750.0,-2450.0,-1950.0,29.0,23274.0,3.0,12.0,N,N,N,N,N,N,N
44,22300.0,41800.0,86800.0,54.0,20019.0,3.0,13.0,N,Y,N,N,N,Y,Y
45,0.0,-200.0,1050.0,47.0,1200.0,2.0,15.0,N,N,N,N,N,N,N
46,1097.0,16597.0,139597.0,51.0,85980.0,2.0,18.0,N,Y,N,N,N,Y,Y
47,5483.0,4883.0,69883.0,44.0,26472.0,4.0,12.0,N,Y,N,N,N,N,Y
48,9000.0,8300.0,109300.0,61.0,37911.0,5.0,12.0,N,Y,Y,N,N,N,Y
49,50.0,-550.0,12950.0,30.0,15822.0,4.0,15.0,N,Y,N,N,N,N,Y
50,11730.0,11730.0,234730.0,48.0,77913.0,2.0,14.0,Y,Y,Y,N,N,N,Y
51,61550.0,90550.0,256350.0,39.0,159696.0,2.0,16.0,N,Y,Y,N,N,Y,Y
52,500.0,-5500.0,-3834.0,36.0,25200.0,4.0,12.0,N,N,N,N,N,N,N
53,11763.0,9918.0,36418.0,39.0,23046.0,1.0,14.0,N,N,N,N,N,Y,Y
54,380.0,-120.0,2680.0,26.0,15450.0,3.0,12.0,N,N,N,N,N,N,Y
55,2050.0,2050.0,61550.0,37.0,25920.0,1.0,18.0,N,N,N,N,N,N,N
56,100.0,-3900.0,28100.0,37.0,13839.0,1.0,16.0,N,N,N,N,N,N,Y
57,398.0,-1002.0,11473.0,32.0,10164.0,5.0,12.0,N,N,N,N,N,N,Y
58,400.0,-3600.0,8350.0,30.0,27624.0,1.0,12.0,Y,N,N,N,N,N,Y
59,35.0,-12465.0,204535.0,50.0,41217.0,4.0,7.0,N,Y,Y,N,N,N,Y
60,6.0,-6994.0,-6994.0,45.0,35565.0,3.0,12.0,N,N,N,N,N,N,N
61,1825.0,-10275.0,9433.0,30.0,57000.0,2.0,14.0,N,Y,Y,N,N,N,Y
62,6500.0,5000.0,193000.0,41.0,54852.0,5.0,12.0,Y,Y,Y,N,N,N,Y
63,160.0,-19840.0,-19840.0,31.0,25002.0,4.0,12.0,N,Y,Y,N,N,N,N
64,2135.0,1384.0,35564.0,30.0,46398.0,4.0,16.0,N,Y,Y,N,N,N,Y
65,16000.0,0.0,49000.0,46.0,18000.0,2.0,14.0,N,N,N,N,N,Y,Y
66,21000.0,20700.0,372700.0,38.0,33576.0,4.0,10.0,N,Y,N,N,N,N,Y
67,3050.0,2250.0,3525.0,25.0,3150.0,1.0,16.0,N,N,N,N,N,N,N
68,67498.0,59498.0,59498.0,46.0,64203.0,5.0,12.0,Y,Y,Y,N,N,N,N
